Date,TotalAreainSqKm
2021-01-01,1816
2021-01-02,1816
2021-01-03,2041
2021-01-04,1994
2021-01-05,1994
2021-01-06,1994
2021-01-07,1981
2021-01-08,1916
2021-01-09,1771
2021-01-10,1831
2021-01-11,1956
2021-01-12,1956
2021-01-13,1910
2021-01-14,1910
2021-01-15,1680
2021-01-16,1633
2021-01-17,1633
2021-01-18,1633
2021-01-19,1657
2021-01-20,1657
2021-01-21,1443
2021-01-22,1291
2021-01-23,1451
2021-01-24,1451
2021-01-25,1441
2021-01-26,1441
2021-01-27,1623
2021-01-28,1489
2021-01-29,1489
2021-01-30,1488
2021-01-31,1469
2021-02-01,1521
2021-02-02,1478
2021-02-03,1262
2021-02-04,1435
2021-02-05,1435
2021-02-06,1419
2021-02-07,1419
2021-02-08,1651
2021-02-09,1654
2021-02-10,1654
2021-02-11,1654
2021-02-12,1634
2021-02-13,1544
2021-02-14,1526
2021-02-15,1261
2021-02-16,1426
2021-02-17,1426
2021-02-18,1415
2021-02-19,1415
2021-02-20,1913
2021-02-21,1616
2021-02-22,1616
2021-02-23,1616
2021-02-24,1549
2021-02-25,1462
2021-02-26,2075
2021-02-27,1350
2021-02-28,1515
2021-03-01,1515
2021-03-02,1422
2021-03-03,1422
2021-03-04,1794
2021-03-05,1719
2021-03-06,1719
2021-03-07,1719
2021-03-08,1653
2021-03-09,1794
2021-03-10,1681
2021-03-11,1440
2021-03-12,1614
2021-03-13,1614
2021-03-14,1512
2021-03-15,1512
2021-03-16,1878
2021-03-17,1566
2021-03-18,1566
2021-03-19,1565
2021-03-20,1537
2021-03-21,1545
2021-03-22,1507
2021-03-23,1838
2021-03-24,2016
2021-03-25,2016
2021-03-26,1997
2021-03-27,1997
2021-03-28,1909
2021-03-29,1591
2021-03-30,1591
2021-03-31,1591
2021-04-01,1592
2021-04-02,1509
2021-04-03,1569
2021-04-04,1339
2021-04-05,1511
2021-04-06,1511
2021-04-07,1406
2021-04-08,1406
2021-04-09,1595
2021-04-10,1592
2021-04-11,1592
2021-04-12,1591
2021-04-13,1550
2021-04-14,1462
2021-04-15,1543
2021-04-16,1392
2021-04-17,1564
2021-04-18,1564
2021-04-19,1422
2021-04-20,1422
2021-04-21,1536
2021-04-22,1820
2021-04-23,1820
2021-04-24,1820
2021-04-25,1800
2021-04-26,1442
2021-04-27,1506
2021-04-28,1407
2021-04-29,1594
2021-04-30,1594
2021-05-01,1507
2021-05-02,1507
2021-05-03,1587
2021-05-04,1679
2021-05-05,1679
2021-05-06,1679
2021-05-07,1669
2021-05-08,1506
2021-05-09,1369
2021-05-10,1272
2021-05-11,1451
2021-05-12,1451
2021-05-13,1441
2021-05-14,1311
2021-05-15,1525
2021-05-16,1751
2021-05-17,1751
2021-05-18,1751
2021-05-19,1751
2021-05-20,1751
2021-05-21,1751
2021-05-22,1751
2021-05-23,1747
2021-05-24,1320
2021-05-25,1751
2021-05-26,1751
2021-05-27,1751
2021-05-28,1751
2021-05-29,1801
2021-05-30,1926
2021-05-31,1926
2021-06-01,1926
2021-06-02,1957
2021-06-03,1556
2021-06-04,1535
2021-06-05,1295
2021-06-06,1460
2021-06-07,1460
2021-06-08,1442
2021-06-09,1442
2021-06-10,1613
2021-06-11,1806
2021-06-12,1806
2021-06-13,1805
2021-06-14,1803
2021-06-15,1803
2021-06-16,1476
2021-06-17,1270
2021-06-18,1466
2021-06-19,1466
2021-06-20,1449
2021-06-21,1449
2021-06-22,1514
2021-06-23,1466
2021-06-24,1466
2021-06-25,1466
2021-06-26,1453
2021-06-27,1410
2021-06-28,1438
2021-06-29,1438
2021-06-30,1438
2021-07-01,1438
2021-07-02,1438
2021-07-03,1438
2021-07-04,1438
2021-07-05,1484
2021-07-06,1483
2021-07-07,1483
2021-07-08,1501
2021-07-09,1501
2021-07-10,1376
2021-07-11,1331
2021-07-12,1490
2021-07-13,1490
2021-07-14,1441
2021-07-15,1437
2021-07-16,1428
2021-07-17,1354
2021-07-18,1354
2021-07-19,1354
2021-07-20,1466
2021-07-21,1466
2021-07-22,1405
2021-07-23,1422
2021-07-24,1597
2021-07-25,1597
2021-07-26,1545
2021-07-27,1545
2021-07-28,1556
2021-07-29,1540
2021-07-30,1537
2021-07-31,1537
2021-08-01,1519
2021-08-02,1590
2021-08-03,1642
